X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;D1
130;202;0;4;0;3;0;6;1;1;1;16;470
310;147;0;5;0;3;0;6;1;1;0;13;920
80;89;0;0;0;1;0;7;1;1;0;0;520
42;180;0;5;0;3;0;6;1;0;1;0;190
25;82;0;0;0;1;0;7;1;1;1;0;47
130;103;0;0;0;3;0;7;1;1;1;0;330
27;102;0;1;0;2;1;7;1;1;0;2;250
500;133;0;0;0;4;0;7;1;1;1;4;1100
150;107;0;5;0;3;1;8;1;1;1;2;340
150;96;0;4;0;4;1;6;1;1;1;1;600
200;129;0;5;0;4;0;7;1;1;1;4;980
50;101;0;4;0;3;0;7;1;1;0;1;82
250;122;0;5;0;3;0;7;1;1;1;0;100
180;137;0;0;0;4;0;7;1;1;1;2;3
18;125;0;0;0;3;0;7;1;0;1;3;500
25;103;0;0;0;0;0;7;1;1;1;0;19
20;129;0;0;0;4;1;7;1;1;1;3;5
30;130;0;4;0;3;0;7;1;1;0;4;290
37;86;0;1;0;1;0;8;1;0;1;2;300
100;178;0;5;0;3;0;6;1;1;1;1;160
1;96;0;4;0;2;0;6;1;0;1;0;2
200;99;0;3;0;4;1;7;1;1;0;0;1000
220;191;0;0;0;1;0;7;1;1;1;5;520
62;145;0;0;0;3;0;7;1;1;0;3;6
200;124;0;4;1;1;0;7;1;1;1;7;600
280;163;0;0;0;4;1;7;1;1;1;6;430
60;188;0;0;0;3;0;7;1;0;1;2;67
80;105;0;3;0;1;0;7;1;1;1;12;1000
140;141;0;0;0;1;0;7;1;1;1;1;340
120;115;0;0;0;1;0;7;1;1;1;2;270
53;94;0;0;0;3;0;8;1;1;0;2;420
1;89;0;0;0;4;1;8;1;1;1;0;9
19;129;0;3;0;4;1;7;1;1;0;7;1
71;155;0;3;0;2;1;7;1;1;1;0;51
56;93;0;0;0;4;0;7;1;0;1;2;41
2;94;0;0;0;1;0;7;1;1;0;1;1
15;146;0;0;0;1;0;7;1;0;1;0;5
190;116;0;3;0;4;1;6;1;1;1;0;170
23;122;0;0;0;4;0;7;1;0;0;0;12
190;97;0;4;0;4;0;7;0;0;0;0;910
70;109;0;4;0;4;0;6;1;1;0;0;480
40;91;0;0;0;4;0;6;0;1;0;0;520
400;113;0;4;0;0;0;6;0;1;0;0;680
110;94;0;0;0;3;1;6;1;1;0;0;12
110;92;0;5;0;2;1;5;1;0;1;0;170
200;92;0;5;0;4;1;6;0;0;0;0;470
70;85;0;4;0;2;1;5;0;1;0;0;270
190;109;0;4;0;3;0;7;1;1;0;0;450
500;95;0;3;0;4;0;6;0;1;0;0;390
200;108;0;0;0;2;1;7;0;1;0;0;730
160;114;0;0;0;3;0;5;1;1;0;1;500
200;95;0;0;0;3;0;7;1;1;1;0;550
450;115;0;3;0;1;0;7;0;1;0;2;1000
260;96;0;0;0;3;1;6;1;0;1;0;720
280;102;0;3;0;2;1;7;1;0;1;0;580
180;96;0;0;0;1;0;5;0;1;0;0;120
400;95;0;0;0;1;0;7;0;0;0;0;380
200;90;0;0;0;3;1;6;0;0;1;0;290
150;101;0;0;0;4;0;6;0;0;0;0;1000
290;96;0;0;0;3;0;6;0;1;0;0;690
74;96;0;4;1;4;1;6;1;0;0;0;290
250;99;0;0;0;2;1;6;0;1;0;3;150
120;100;0;0;0;1;0;6;1;0;0;0;150
180;107;0;0;0;3;0;7;0;1;0;0;770
320;95;0;3;0;1;0;5;1;0;0;0;970
130;115;0;0;0;2;0;7;0;1;0;0;750
40;86;0;5;0;1;0;5;0;1;1;0;250
100;94;0;5;0;2;1;6;0;1;1;1;29
100;88;0;0;0;3;0;5;0;1;0;0;780
500;88;0;0;0;4;0;6;0;1;0;1;68
240;110;0;4;0;2;1;7;1;0;1;0;230
400;101;0;5;0;2;1;6;0;1;0;0;180
160;97;0;1;0;2;1;7;1;0;1;0;17
100;90;0;0;0;2;1;7;0;0;0;0;18
200;90;0;2;0;4;0;6;0;1;0;0;500
240;89;0;0;0;3;0;6;0;1;1;0;310
470;75;0;0;0;1;0;6;0;1;0;1;380
52;96;0;0;0;1;0;7;1;1;1;0;7
140;86;0;0;0;4;0;5;1;1;0;0;180
150;90;0;0;0;3;0;6;1;1;1;2;10
450;99;0;3;0;2;1;5;1;1;1;0;2
200;88;0;0;0;3;1;7;1;1;0;1;10
